Loading workload 100 _1_0 try 1
a3ce8b8c30c6   primary      0.60%     101.2MiB / 7.73GiB   1.28%     20.9MB / 14.1MB   66.8MB / 19.3MB   73
Loading workload 500 _1_0 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   1.07%     93.46MiB / 7.73GiB   1.18%     3.9MB / 1.54MB    45.2MB / 22.9MB   73
b9633d65fafd   secondary2   0.92%     84.18MiB / 7.73GiB   1.06%     3.82MB / 1.52MB   3.19MB / 23.1MB   73
84e3f0c4f254   secondary3   1.23%     84.21MiB / 7.73GiB   1.06%     3.94MB / 1.56MB   10.8MB / 23.1MB   73
a3ce8b8c30c6   primary      0.70%     102.8MiB / 7.73GiB   1.30%     22.3MB / 14.3MB   66.8MB / 19.4MB   73
Loading workload 500 _50_50 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.59%     93.52MiB / 7.73GiB   1.18%     3.95MB / 1.6MB    45.2MB / 23MB     72
b9633d65fafd   secondary2   0.57%     84.27MiB / 7.73GiB   1.06%     3.87MB / 1.58MB   3.19MB / 23.2MB   73
84e3f0c4f254   secondary3   0.88%     84.19MiB / 7.73GiB   1.06%     3.98MB / 1.61MB   10.8MB / 23.2MB   72
a3ce8b8c30c6   primary      1.84%     104.5MiB / 7.73GiB   1.32%     23.7MB / 15MB     66.8MB / 22.9MB   73
Loading workload 500 _10_90 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O         PIDS
74baff9e5a2e   secondary1   0.76%     93.78MiB / 7.73GiB   1.18%     4MB / 1.65MB      45.2MB / 25.7MB   72
b9633d65fafd   secondary2   0.63%     84.57MiB / 7.73GiB   1.07%     3.92MB / 1.64MB   3.19MB / 25.9MB   72
